TractID,TotalPopulation,TotalPop18plus,Mammography_Pct,Mammography_CI_Low,Mammography_CI_High,Uninsured_Pct,Uninsured_CI_Low,Uninsured_CI_High,Geolocation
25025000101,1876,1723,85.5,81.7,89.0,3.2,2.5,4.4,POINT (-71.133051 42.3608778)
25025000102,3714,3110,82.9,78.6,86.8,6.5,5.0,8.7,POINT (-71.1439885 42.3590809)
25025000201,3953,3545,84.2,79.9,88.0,4.6,3.1,7.0,POINT (-71.1611678 42.3540651)
25025000202,4148,3520,83.9,79.7,87.7,6.7,4.7,9.4,POINT (-71.1543443 42.3526051)
25025000301,3136,2872,86.4,82.6,89.5,3.9,2.6,6.1,POINT (-71.16882 42.3541444)
25025000302,3072,2822,85.3,81.4,88.8,3.5,2.6,4.9,POINT (-71.1676864 42.3472585)
25025000401,5853,5439,85.6,81.7,89.1,4.2,3.1,6.3,POINT (-71.1492929 42.3438495)
25025000402,3644,3218,84.8,80.8,88.4,3.6,2.6,5.0,POINT (-71.1588288 42.3441742)
25025000502,6986,6744,83.0,78.6,87.1,4.0,3.2,5.1,POINT (-71.1574973 42.3315048)
25025000503,2418,2340,85.3,81.3,88.8,3.2,2.5,4.4,POINT (-71.1500865 42.3396411)
25025000505,2196,2079,83.7,79.2,87.4,3.6,2.8,4.8,POINT (-71.1411123 42.3431835)
25025000506,2895,2772,84.6,80.5,88.1,3.5,2.7,5.3,POINT (-71.1459005 42.3401535)
25025000601,3758,3417,84.3,80.2,87.9,4.7,3.3,6.9,POINT (-71.1456705 42.350982)
25025000603,1757,1460,79.2,74.0,83.8,8.1,6.3,10.2,POINT (-71.1449263 42.3476014)
25025000604,2591,2390,82.9,78.4,86.8,5.4,4.2,6.9,POINT (-71.1397725 42.351044)
25025000701,4517,4319,84.2,80.0,87.9,3.3,2.6,4.3,POINT (-71.1379847 42.346958)
25025000703,2442,2360,83.1,78.7,87.0,4.2,3.3,5.4,POINT (-71.1282176 42.3513284)
25025000704,5312,4929,83.0,78.5,87.0,4.2,3.1,5.9,POINT (-71.1334045 42.3500028)
25025000804,3813,3298,85.3,81.3,88.8,5.2,4.0,6.7,POINT (-71.1308995 42.3586255)
25025000805,4616,4327,81.7,77.0,85.9,4.9,3.8,6.4,POINT (-71.1278821 42.3539909)
25025000806,1972,1844,84.1,79.8,87.9,4.6,3.6,5.8,POINT (-71.1264765 42.3636765)
25025000807,2282,2269,72.5,66.2,78.4,8.8,7.4,10.4,POINT (-71.1168882 42.3524656)
25025010103,4697,4667,80.2,75.1,84.9,4.9,3.8,6.2,POINT (-71.1034992 42.3498504)
25025010104,5063,4946,82.0,77.2,86.1,4.5,3.5,5.8,POINT (-71.0937493 42.34943)
25025010204,3443,3346,82.1,77.3,86.2,5.4,4.2,6.9,POINT (-71.1034355 42.3464726)
25025010205,4906,4646,84.9,80.9,88.5,3.7,2.8,5.2,POINT (-71.0994449 42.3432726)
25025010206,2154,2075,82.4,77.7,86.5,4.9,3.6,6.6,POINT (-71.0942317 42.346504)
25025010300,5186,5142,83.4,78.9,87.4,4.3,3.3,5.6,POINT (-71.1018257 42.339422)
25025010403,3179,3041,79.9,74.9,84.4,5.1,4.0,6.6,POINT (-71.0880611 42.345075)
25025010404,5747,5609,81.4,76.6,85.7,6.0,4.5,8.0,POINT (-71.0886377 42.3419678)
25025010405,6853,6707,79.7,74.8,84.2,6.3,4.8,9.1,POINT (-71.0895958 42.3398656)
25025010408,1438,1389,84.0,79.6,87.7,4.1,3.1,5.6,POINT (-71.0958461 42.3431682)
25025010500,3876,3697,83.3,78.9,87.1,4.3,3.2,5.7,POINT (-71.0843482 42.3444618)
25025010600,3529,3239,86.0,82.2,89.3,2.9,2.3,3.6,POINT (-71.0793745 42.3476422)
25025010701,2543,2405,86.7,82.9,89.9,2.7,2.2,3.4,POINT (-71.0838784 42.3497199)
25025010702,2328,2166,86.5,82.8,89.8,2.3,1.8,2.9,POINT (-71.0755131 42.3518383)
25025010801,2856,2711,87.0,83.3,90.2,2.8,2.2,3.6,POINT (-71.0769092 42.3541707)
25025010802,3058,2824,86.9,83.3,90.1,2.2,1.7,2.9,POINT (-71.0857007 42.3515155)
25025020101,4235,3812,87.9,84.5,90.9,2.0,1.7,2.5,POINT (-71.0693336 42.3577451)
25025020200,3804,3608,87.4,83.9,90.5,2.9,2.2,4.6,POINT (-71.0685049 42.3602609)
25025020301,2166,2023,87.2,83.6,90.3,3.2,2.4,4.4,POINT (-71.0686464 42.3631736)
25025020302,1293,1179,83.8,79.5,87.6,2.5,2.0,3.7,POINT (-71.0639956 42.3593442)
25025020304,1906,1740,84.5,80.4,88.2,3.4,2.5,4.8,POINT (-71.0609927 42.3640512)
25025020305,3633,3335,83.8,79.6,87.5,3.3,2.4,4.7,POINT (-71.0645674 42.366777)
25025030100,2115,2023,86.3,82.6,89.5,2.7,2.0,4.5,POINT (-71.0561403 42.3669373)
25025030200,1815,1742,87.4,83.8,90.5,3.0,2.1,4.7,POINT (-71.0570125 42.3646862)
25025030301,1385,1258,88.0,84.5,90.9,1.8,1.5,2.2,POINT (-71.0492086 42.3599516)
25025030302,1844,1745,82.0,77.3,86.2,4.0,3.3,5.0,POINT (-71.0577232 42.3601404)
25025030400,4160,3912,86.4,82.8,89.7,2.6,2.0,3.6,POINT (-71.0536706 42.3637112)
25025030500,2715,2559,85.5,81.5,89.1,2.6,1.9,3.7,POINT (-71.0515811 42.3675671)
25025040100,2360,2023,84.2,80.2,87.9,2.6,1.8,4.0,POINT (-71.0597515 42.3730476)
25025040200,1594,1156,83.9,79.8,87.7,6.5,4.9,8.5,POINT (-71.0567739 42.376905)
25025040300,4525,3574,82.4,77.7,86.5,2.9,2.1,4.4,POINT (-71.0633901 42.3787362)
25025040401,2922,2384,81.9,77.4,86.1,4.0,2.9,5.5,POINT (-71.0665218 42.3740347)
25025040600,3683,3175,87.1,83.5,90.3,2.7,2.0,4.0,POINT (-71.0698352 42.3832248)
25025040801,4036,3349,83.3,78.8,87.0,4.9,3.6,6.4,POINT (-71.0518705 42.3789064)
25025050101,4917,3808,78.3,73.1,83.2,16.5,12.2,20.6,POINT (-71.0397908 42.3816657)
25025050200,5197,4077,77.9,72.6,82.6,14.1,10.1,18.7,POINT (-71.0357577 42.3775778)
25025050300,3258,2777,82.9,78.4,86.7,8.5,6.2,11.1,POINT (-71.0434118 42.3722392)
25025050400,2372,2021,82.0,77.5,86.1,11.4,8.4,14.6,POINT (-71.0379019 42.3682184)
25025050500,2174,1820,80.3,75.4,84.7,8.4,6.2,11.1,POINT (-71.031925 42.3708587)
25025050600,2074,1712,83.9,79.7,87.7,13.0,9.4,16.7,POINT (-71.0372787 42.3719233)
25025050700,4520,3529,77.8,72.4,82.6,12.6,9.2,16.3,POINT (-71.0332347 42.3753741)
25025050901,4242,3268,79.7,74.6,84.4,14.5,10.6,18.4,POINT (-71.0295001 42.3819368)
25025051000,4317,3508,83.8,79.7,87.5,9.3,6.9,12.0,POINT (-71.0161271 42.3873027)
25025051101,6460,5274,79.6,74.6,84.0,10.7,8.3,13.5,POINT (-71.0043188 42.3854556)
25025051200,3454,2965,86.6,82.9,89.9,5.1,3.7,6.9,POINT (-71.0364673 42.364448)
25025060101,3673,3314,87.3,83.8,90.3,2.6,1.8,3.9,POINT (-71.0279302 42.3347618)
25025060200,2328,2123,87.4,83.8,90.5,2.6,1.8,4.1,POINT (-71.0326799 42.3325583)
25025060301,3609,3278,87.0,83.4,90.2,2.9,2.1,4.6,POINT (-71.0369483 42.3334669)
25025060400,5195,4801,85.4,81.4,88.8,2.8,1.9,4.8,POINT (-71.0428981 42.3323988)
25025060501,4733,4312,86.8,83.2,90.1,3.0,2.0,4.9,POINT (-71.0382133 42.3368686)
25025060601,2006,1856,85.8,81.9,89.1,2.9,2.0,4.9,POINT (-71.0489604 42.3392514)
25025060603,1502,1417,87.5,84.0,90.5,2.2,1.8,2.8,POINT (-71.041147 42.3477038)
25025060604,2803,2678,86.7,82.9,90.0,2.1,1.7,2.9,POINT (-71.0384635 42.350768)
25025060700,1689,1165,75.8,70.1,80.9,16.4,13.3,19.9,POINT (-71.0539041 42.3385217)
25025060800,4859,4502,86.4,82.7,89.6,2.9,2.1,4.2,POINT (-71.0514885 42.3353908)
25025061000,2416,1933,81.0,76.2,85.2,7.6,5.5,10.2,POINT (-71.0499288 42.3317196)
25025061101,2710,1990,76.5,71.0,81.8,12.1,9.7,14.7,POINT (-71.0542968 42.3262844)
25025061201,2013,1882,85.5,81.6,88.8,3.3,2.5,4.5,POINT (-71.0576503 42.3326075)
25025061203,2686,2458,86.6,82.7,89.8,2.8,2.0,4.4,POINT (-71.0566283 42.3416085)
25025061204,937,876,87.9,84.5,90.9,1.9,1.6,2.4,POINT (-71.0532683 42.3457244)
25025070102,3687,3537,82.2,77.7,86.4,5.8,4.4,7.8,POINT (-71.0617639 42.3556883)
25025070103,751,623,83.9,79.3,87.8,4.1,2.8,5.7,POINT (-71.0598082 42.3478532)
25025070104,2862,2576,83.9,79.6,87.7,3.1,2.6,3.8,POINT (-71.0562868 42.3523203)
25025070201,3990,3859,79.8,74.6,84.4,6.5,4.5,9.5,POINT (-71.0653769 42.3500054)
25025070202,5460,4854,82.0,77.4,86.1,6.9,5.4,8.6,POINT (-71.0619598 42.3500656)
25025070301,2213,1999,86.5,82.6,89.7,2.8,2.1,4.0,POINT (-71.0716357 42.346324)
25025070302,2090,1911,85.8,82.0,89.3,4.5,3.2,6.2,POINT (-71.0694197 42.3499539)
25025070402,3561,3251,81.7,77.1,86.0,6.2,4.4,8.7,POINT (-71.0651669 42.3455432)
25025070501,2223,1975,87.8,84.4,90.8,2.2,1.7,3.1,POINT (-71.0691593 42.3431213)
25025070502,3393,2907,77.7,72.3,82.6,9.6,7.1,12.0,POINT (-71.0737001 42.3411012)
25025070600,2287,2001,88.1,84.6,91.0,2.3,1.8,3.1,POINT (-71.0753887 42.3432581)
25025070700,2527,2166,83.3,78.9,87.2,3.8,2.9,5.1,POINT (-71.0761507 42.3458828)
25025070801,1056,953,82.5,78.0,86.6,5.3,4.1,7.1,POINT (-71.0825322 42.3399771)
25025070802,2685,2404,84.1,80.1,87.8,3.5,2.5,5.0,POINT (-71.0802334 42.3417055)
25025070901,1165,953,82.3,77.8,86.3,8.4,6.6,10.6,POINT (-71.0795662 42.3377169)
25025070902,2300,2007,83.7,79.5,87.4,4.3,3.1,6.1,POINT (-71.0774493 42.338807)
25025071101,4111,3744,83.6,79.3,87.4,5.3,4.1,6.9,POINT (-71.0727888 42.3359523)
25025071201,3514,2950,78.2,73.2,82.9,8.1,6.3,10.4,POINT (-71.0670373 42.3397875)
25025080100,2900,2486,79.2,74.3,83.8,10.3,8.7,12.2,POINT (-71.0705295 42.3293312)
25025080300,2236,1663,84.8,80.6,88.5,11.6,9.0,14.4,POINT (-71.0790504 42.3274519)
25025080401,3391,2709,80.2,75.4,84.7,14.0,11.9,16.3,POINT (-71.0808969 42.3321176)
25025080500,3288,2458,83.7,79.3,87.6,10.6,8.8,12.6,POINT (-71.0825085 42.3356843)
25025080601,4732,4432,79.4,74.5,83.9,7.5,5.7,10.1,POINT (-71.0880443 42.3333769)
25025080801,4282,3611,78.4,73.3,83.1,11.1,8.7,14.2,POINT (-71.0962114 42.3346063)
25025080900,4376,4092,81.9,77.3,86.0,4.5,3.4,6.1,POINT (-71.1016923 42.3323435)
25025081001,5695,4966,80.6,75.7,84.9,8.0,6.4,10.1,POINT (-71.1068296 42.3345574)
25025081101,1484,1405,84.3,80.3,87.9,3.7,2.6,5.3,POINT (-71.1124512 42.3270449)
25025081102,3165,2927,85.0,80.9,88.5,5.5,4.3,7.1,POINT (-71.1059304 42.3288046)
